[INFO] [1775036876.147712977] [trajectory_metrics_node]: TrajectoryMetricsNode ready
  stage: fusion
  camera_gps_topic: /environment/GPS/GPSSDT/odom
  ambulance_gps_topic: /environment/GPS/GPSSDTAMBULANCE/odom
  estimation_topic: /yolo/detections_xyz
  target_track_id: 1
  output_dir: /home/isarlab/ros2_humble/metrics_output/esperimento_01/accelerated_right/esperimento_01_fusion
  max_abs_pose_m: 500.0
  max_abs_estimate_m: 200.0
  max_abs_error_m: 200.0
  max_pose_step_m: 1.5
  max_pose_speed_mps: 8.0
  max_yaw_rate_rps: 1.5
[INFO] [1775036876.169495939] [trajectory_metrics_node]: GT inizializzata: first_gt_rel_cam = [100.680, 28.599]
[INFO] [1775036876.170344668] [trajectory_metrics_node]: Primo campione stima per target 1: [3.372, -0.817]
[WARN] [1775036891.736606404] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.910m, x=96.77002929687501, y=10.099997558593751
[WARN] [1775036891.845291207] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.912m, x=96.76001953125001, y=10.099997558593751
[WARN] [1775036891.943584156] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.914m, x=96.75003906250001, y=10.099997558593751
[WARN] [1775036892.031152429] [trajectory_metrics_node]: Scarto ambulance odom non plausibile: x=5.4288776408585856e-27, y=-5.316609648471509e+34
[WARN] [1775036892.139458926] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.919m, x=96.730029296875, y=10.099997558593751
[WARN] [1775036892.238888452] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.921m, x=96.720029296875, y=10.099997558593751
[WARN] [1775036892.345141083] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.923m, x=96.710029296875, y=10.099997558593751
[WARN] [1775036892.437911182] [trajectory_metrics_node]: Scarto ambulance odom non plausibile: x=4.911763540268108e-27, y=-5.316609648471509e+34
[WARN] [1775036892.544688361] [trajectory_metrics_node]: Scarto ambulance odom non plausibile: x=4.782516569556698e-27, y=-5.316609648471509e+34
[WARN] [1775036892.640063893] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.929m, x=96.6800390625, y=10.099997558593751
[WARN] [1775036892.739353474] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.931m, x=96.67001953125, y=10.099997558593751
[WARN] [1775036892.848834105] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.933m, x=96.66001953125, y=10.099997558593751
[WARN] [1775036892.939632413] [trajectory_metrics_node]: Scarto ambulance odom non plausibile: x=4.265528686711055e-27, y=-5.316609648471509e+34
[WARN] [1775036892.941976775] [trajectory_metrics_node]: Scarto camera odom per salto dinamico: step_too_large=273.276m, x=273.28369140625, y=-7.009617331021901e-11
[WARN] [1775036893.036074250] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.938m, x=96.640029296875, y=10.099997558593751
[WARN] [1775036893.139958393] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.940m, x=96.629990234375, y=10.099997558593751
[WARN] [1775036893.234892768] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.942m, x=96.620029296875, y=10.099997558593751
[WARN] [1775036893.338664546] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.944m, x=96.61003906250001, y=10.099997558593751
[WARN] [1775036893.439285345] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.946m, x=96.6000390625, y=10.099997558593751
[WARN] [1775036893.544686368] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.948m, x=96.590029296875, y=10.099997558593751
[WARN] [1775036893.639648687] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.951m, x=96.5800390625, y=10.099997558593751
[WARN] [1775036893.736371889] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.953m, x=96.57001953125, y=10.099997558593751
[WARN] [1775036893.838490300] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.955m, x=96.560029296875, y=10.099997558593751
[WARN] [1775036893.937382034] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.957m, x=96.550029296875, y=10.099997558593751
